ddate,open,high,low,close,volume
20180105,2565000,2606000,2560000,2606000,189623
20180108,2620000,2626000,2575000,2601000,167673
20180109,2573000,2586000,2499000,2520000,360272
20180110,2525000,2526000,2432000,2442000,371336
20180111,2410000,2463000,2401000,2412000,502476
20180112,2412000,2424000,2338000,2410000,545409
20180115,2440000,2449000,2396000,2427000,201920
20180116,2438000,2507000,2431000,2500000,407793
20180117,2501000,2501000,2453000,2481000,221061
20180118,2501000,2532000,2491000,2495000,296977
20180119,2519000,2519000,2452000,2466000,184399
20180122,2432000,2434000,2398000,2412000,250418
20180123,2433000,2458000,2415000,2458000,270654
20180124,2443000,2485000,2428000,2467000,191010
20180125,2461000,2518000,2458000,2513000,223207
20180126,2525000,2539000,2492000,2539000,207002
20180129,2560000,2574000,2545000,2561000,236776
20180130,2522000,2532000,2489000,2490000,245691
20180131,2501000,2707000,2480000,2495000,1293626
20180201,2531000,2548000,2486000,2491000,552189
20180202,2469000,2470000,2385000,2385000,585207
20180205,2325000,2416000,2300000,2396000,567158
20180206,2330000,2396000,2329000,2371000,388129
20180207,2412000,2413000,2290000,2290000,468961
20180208,2306000,2331000,2299000,2300000,465021
20180209,2222000,2259000,2221000,2235000,349300
20180212,2255000,2316000,2252000,2286000,315099
20180213,2310000,2403000,2310000,2377000,378465
20180214,2404000,2455000,2397000,2450000,378118
20180219,2490000,2490000,2393000,2419000,307069
20180220,2402000,2408000,2361000,2370000,202452
20180221,2364000,2379000,2342000,2364000,257604
20180222,2363000,2363000,2338000,2338000,177399
20180223,2338000,2390000,2338000,2361000,248466
20180226,2364000,2378000,2354000,2369000,191213
20180227,2418000,2419000,2369000,2369000,196611
20180228,2369000,2405000,2350000,2353000,303247
20180302,2329000,2340000,2300000,2301000,265310
20180305,2291000,2308000,2254000,2260000,282019
20180306,2296000,2355000,2291000,2351000,308467
20180307,2410000,2445000,2361000,2431000,428541
20180308,2460000,2474000,2404000,2460000,389273
20180309,2472000,2527000,2462000,2487000,286088
20180312,2528000,2539000,2479000,2487000,173779
20180313,2538000,2583000,2518000,2583000,401974
20180314,2551000,2600000,2550000,2588000,254265
20180315,2600000,2601000,2551000,2577000,177649
20180316,2561000,2571000,2512000,2557000,243698
20180319,2531000,2567000,2522000,2537000,164377
20180320,2535000,2560000,2505000,2560000,163865
20180321,2589000,2589000,2553000,2553000,178104
20180322,2553000,2589000,2552000,2589000,169082
20180323,2517000,2536000,2480000,2486000,297099
20180326,2471000,2514000,2452000,2514000,201155
20180327,2516000,2523000,2454000,2499000,237480
20180328,2455000,2455000,2417000,2435000,303189
20180329,2435000,2478000,2416000,2452000,201340
20180330,2454000,2495000,2454000,2461000,155542
20180402,2450000,2461000,2425000,2427000,142313
20180403,2394000,2407000,2364000,2406000,255365
20180404,2408000,2413000,2346000,2346000,247684
20180405,2370000,2469000,2367000,2437000,264912
20180406,2400000,2429000,2370000,2420000,250654
20180409,2413000,2472000,2410000,2460000,199008
20180410,2427000,2461000,2402000,2444000,219687
20180411,2495000,2495000,2430000,2443000,201022
