,종목코드,종목명,BPS,PER,PBR,EPS,DIV,DPS,시가,고가,저가,종가,거래량,거래대금,등락률
163,023150,MH에탄올,8318.0,9.09,1.15,1049.0,3.67,350.0,9950.0,10200.0,9900.0,10050.0,44480.0,448285490.0,0.5
164,035420,NAVER,44850.0,49.72,7.63,6877.0,0.12,402.0,407000.0,410000.0,404000.0,404000.0,415847.0,168843529500.0,-0.74
165,160550,NEW,3774.0,0.0,3.7,0.0,0.0,0.0,19050.0,19350.0,17500.0,18200.0,2082954.0,37612538250.0,-6.67
166,053290,NE능률,3826.0,199.2,3.54,68.0,0.3,40.0,13800.0,14150.0,13600.0,13900.0,300432.0,4158614500.0,-0.71
167,181710,NHN,42577.0,67.6,0.95,599.0,0.0,0.0,97800.0,98600.0,93700.0,94700.0,242708.0,23110651500.0,-4.34
168,104200,NHN벅스,4101.0,0.0,3.86,0.0,0.0,0.0,13050.0,14850.0,12750.0,13550.0,11300999.0,156328023100.0,1.88
169,060250,NHN한국사이버결제,3845.0,33.34,6.84,789.0,0.0,0.0,58400.0,60700.0,58200.0,60000.0,124275.0,7370221928.0,1.69
170,400760,NH올원리츠,,,,,,,5380.0,5400.0,5310.0,5370.0,1184820.0,6352702750.0,0.0
171,005940,NH투자증권,19308.0,6.27,0.62,1923.0,5.81,700.0,13050.0,13100.0,12950.0,13000.0,325680.0,4241246900.0,-0.38
172,005945,NH투자증권우,0.0,0.0,0.0,0.0,6.64,750.0,12400.0,12450.0,12300.0,12450.0,38149.0,472639350.0,0.4
173,338100,NH프라임리츠,,,,,,,4920.0,4920.0,4900.0,4910.0,40887.0,200861435.0,0.1
174,034310,NICE,18634.0,38.7,0.93,447.0,1.56,270.0,16800.0,16800.0,16550.0,16550.0,93690.0,1556654900.0,-1.49
175,030190,NICE평가정보,4263.0,23.19,4.29,789.0,1.5,275.0,18750.0,19400.0,18500.0,19350.0,94803.0,1802605700.0,4.03
176,008260,NI스틸,4246.0,9.3,0.93,424.0,1.27,50.0,3515.0,3600.0,3515.0,3575.0,75060.0,266944040.0,1.71
177,004250,NPC,7011.0,20.12,1.29,449.0,1.11,100.0,7300.0,7850.0,7230.0,7800.0,5272127.0,40110742630.0,5.55
178,004255,NPC우,0.0,0.0,0.0,0.0,2.19,105.0,3300.0,3350.0,3270.0,3350.0,9702.0,32196340.0,1.52
179,010060,OCI,98159.0,0.0,0.96,0.0,0.0,0.0,117000.0,119000.0,116000.0,118500.0,156352.0,18435610500.0,0.42
180,078590,OQP,878.0,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,2380.0,0.0,0.0,0.0
181,178920,PI첨단소재,9633.0,37.38,5.51,1421.0,1.34,711.0,50500.0,50600.0,48200.0,48300.0,439405.0,21599987250.0,-4.17
182,024940,PN풍년,3955.0,19.05,1.23,256.0,0.51,25.0,5370.0,5410.0,5240.0,5360.0,53044.0,282809210.0,-0.19
183,005490,POSCO,508464.0,14.83,0.59,20165.0,2.68,8000.0,274500.0,281000.0,274000.0,278000.0,285633.0,79485202500.0,1.46
184,218410,RFHIC,8062.0,399.5,4.11,83.0,0.3,100.0,27700.0,30400.0,27700.0,30250.0,361104.0,10683372000.0,7.08
185,327260,RF머트리얼즈,4063.0,0.0,3.17,0.0,0.0,0.0,24500.0,25300.0,24400.0,25100.0,24742.0,619505250.0,2.45
186,091340,S&K폴리텍,7792.0,0.0,0.76,0.0,4.24,250.0,6060.0,6090.0,5910.0,6040.0,82248.0,495903680.0,-0.33
187,010950,S-Oil,48733.0,0.0,1.94,0.0,0.0,0.0,90000.0,90100.0,88200.0,88600.0,217351.0,19298328500.0,0.23
188,010955,S-Oil우,0.0,0.0,0.0,0.0,0.04,25.0,56800.0,56800.0,56000.0,56700.0,5287.0,298841300.0,1.25
189,019550,SBI인베스트먼트,673.0,18.6,2.38,86.0,0.0,0.0,1805.0,1830.0,1775.0,1775.0,1590917.0,2862689520.0,-2.2
190,950110,SBI핀테크솔루션즈,,,,,,,7030.0,7200.0,6990.0,7150.0,18836.0,134141220.0,0.99
191,034120,SBS,28014.0,0.0,1.65,0.0,0.0,0.0,49250.0,49350.0,48000.0,48000.0,109011.0,5271023950.0,-1.94
192,101060,SBS미디어홀딩스,3617.0,0.0,0.53,0.0,0.0,0.0,1925.0,1945.0,1920.0,1930.0,138033.0,267063180.0,0.52
193,046140,SBS콘텐츠허브,7102.0,19.38,1.06,389.0,0.0,0.0,8850.0,8860.0,8700.0,8830.0,92745.0,813467030.0,-0.23
194,036120,SCI평가정보,718.0,18.34,4.58,179.0,1.07,35.0,3530.0,3625.0,3500.0,3525.0,167043.0,594663510.0,-0.56
195,099220,SDN,1873.0,11.05,1.04,176.0,0.0,0.0,1930.0,1945.0,1895.0,1920.0,311707.0,597216300.0,-0.26
196,036540,SFA반도체,2023.0,70.9,3.57,102.0,0.0,0.0,7300.0,7550.0,7210.0,7300.0,4890643.0,36066763190.0,1.25
197,255220,SG,1894.0,0.0,1.11,0.0,0.0,0.0,1585.0,1600.0,1575.0,1585.0,55232.0,87599200.0,-0.94
198,040610,SG&G,8110.0,3.2,0.31,787.0,0.0,0.0,2080.0,2205.0,2080.0,2200.0,102705.0,222329100.0,5.77
199,049470,SGA,717.0,13.27,1.5,81.0,0.0,0.0,1150.0,1200.0,1115.0,1170.0,432178.0,496093960.0,2.18
200,184230,SGA솔루션즈,661.0,8.35,2.0,158.0,0.0,0.0,1335.0,1355.0,1300.0,1300.0,408144.0,534374085.0,-2.62
201,005090,SGC에너지,38628.0,27.27,1.26,1792.0,3.07,1500.0,45850.0,47900.0,45750.0,46200.0,20752.0,964905200.0,0.76
202,016250,SGC이테크건설,54475.0,1.39,1.12,43859.0,2.46,1500.0,70700.0,70800.0,69000.0,69800.0,9245.0,645370400.0,-1.13
203,001380,SG글로벌,2812.0,0.0,0.71,0.0,0.0,0.0,1800.0,1810.0,1725.0,1755.0,310333.0,544231855.0,-3.04
204,004060,SG세계물산,969.0,0.0,0.83,0.0,0.0,0.0,642.0,666.0,631.0,666.0,772570.0,501755446.0,3.26
205,001770,SHD,28484.0,72.3,1.02,403.0,0.34,100.0,30950.0,31300.0,30450.0,30450.0,10838.0,333687650.0,-1.62
206,002360,SH에너지화학,808.0,0.0,1.22,0.0,0.0,0.0,985.0,998.0,982.0,995.0,563434.0,557372138.0,0.71
207,009160,SIMPAC,7091.0,10.58,0.87,586.0,0.97,60.0,6950.0,7100.0,6910.0,6950.0,116235.0,813765890.0,0.0
208,123700,SJM,10466.0,27.84,0.46,172.0,1.04,50.0,4650.0,4690.0,4585.0,4650.0,44756.0,207266740.0,-0.11
209,025530,SJM홀딩스,9852.0,16.92,0.38,221.0,2.67,100.0,3555.0,3655.0,3550.0,3600.0,10748.0,38629450.0,1.41
210,034730,SK,245819.0,68.9,0.99,3544.0,2.87,7000.0,245500.0,250500.0,244500.0,246000.0,165353.0,40816919000.0,-0.2
211,337450,SK5호스팩,0.0,0.0,0.0,0.0,0.0,0.0,2095.0,2100.0,2075.0,2095.0,20906.0,43603955.0,0.48
212,340350,SK6호스팩,0.0,0.0,0.0,0.0,0.0,0.0,2090.0,2090.0,2075.0,2080.0,8824.0,18346190.0,0.0
213,011790,SKC,47746.0,149.8,3.29,1048.0,0.64,1000.0,187500.0,194500.0,182000.0,188000.0,927111.0,174759006000.0,3.58
214,018670,SK가스,205706.0,4.21,0.61,29674.0,3.2,4000.0,120500.0,124000.0,120500.0,123500.0,8108.0,994368500.0,0.82
215,001740,SK네트웍스,8289.0,31.9,0.59,153.0,2.46,120.0,5100.0,5140.0,5070.0,5080.0,313403.0,1596976920.0,0.2
216,001745,SK네트웍스우,0.0,0.0,0.0,0.0,0.22,145.0,90900.0,90900.0,83400.0,85900.0,139.0,11780700.0,2.38
217,006120,SK디스커버리,95458.0,3.48,0.48,13096.0,2.19,1000.0,48100.0,48450.0,47900.0,48150.0,31856.0,1535750200.0,-0.31
218,006125,SK디스커버리우,0.0,0.0,0.0,0.0,3.02,1050.0,36150.0,37000.0,36050.0,36100.0,5552.0,201800250.0,-0.14
219,210980,SK디앤디,21678.0,12.18,1.41,2505.0,1.97,600.0,29750.0,30200.0,29650.0,30150.0,15923.0,478180450.0,0.84
220,068400,SK렌터카,9793.0,20.75,1.05,494.0,0.0,0.0,10700.0,10750.0,10550.0,10650.0,53433.0,569431950.0,-0.47
221,395400,SK리츠,,,,,,,6170.0,6180.0,6130.0,6180.0,286581.0,1762117440.0,0.0
222,302440,SK바이오사이언스,4310.0,372.5,46.4,537.0,0.0,0.0,236500.0,244500.0,233500.0,244000.0,408854.0,98412950000.0,3.39
223,326030,SK바이오팜,4840.0,0.0,18.97,0.0,0.0,0.0,99800.0,101000.0,99700.0,100500.0,97257.0,9760954100.0,0.9
224,402340,SK스퀘어,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
225,361610,SK아이이테크놀로지,19258.0,98.94,7.81,1521.0,0.0,0.0,163500.0,167500.0,162000.0,167500.0,464574.0,76621273000.0,1.82
226,03473K,SK우,0.0,0.0,0.0,0.0,3.29,7050.0,220000.0,222500.0,220000.0,220500.0,661.0,146143500.0,-0.23
227,096770,SK이노베이션,155153.0,0.0,1.7,0.0,0.0,0.0,218000.0,222000.0,216500.0,216500.0,275230.0,59980931000.0,-0.92
228,096775,SK이노베이션우,0.0,0.0,0.0,0.0,0.0,0.0,135500.0,136500.0,134000.0,135000.0,4075.0,548860000.0,-0.37
229,001510,SK증권,1207.0,38.0,0.79,25.0,1.05,10.0,1005.0,1005.0,992.0,994.0,2974787.0,2964792013.0,-1.09
